Customer ID,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Zip Code,Population,Churn Value,Total Customer Svc Requests,Product/Service Issues Reported,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Female,Gender_Male
5804-LEPIM,2,Yes,No,Yes,11,No,No,No,No,No,No,No,No,Yes,73.164,139.05,0.0,15.0,26.34,74,No,Yes,No,No,0,92122,34902,1,4,0,True,False,False,True,False,False,True,False
0623-IIHUG,21,No,No,Yes,9,Yes,No,No,No,Yes,No,No,Yes,Yes,43.576,840.1,0.0,0.0,0.0,77,No,Yes,No,No,0,92122,34902,1,2,0,True,False,False,True,False,False,True,False
9057-MSWCO,27,No,No,Yes,14,Yes,No,No,No,No,No,No,No,No,31.98,805.1,0.0,113.0,0.0,71,No,Yes,Yes,No,0,92122,34902,1,2,0,True,False,False,False,True,False,False,True
4895-TMWIR,11,Yes,No,No,0,No,No,No,No,No,No,No,No,No,19.95,214.75,0.0,0.0,324.94,79,No,Yes,Yes,No,0,92122,34902,1,2,0,True,False,False,False,False,True,False,True
0533-BNWKF,55,Yes,Yes,Yes,30,No,Yes,Yes,No,No,No,No,Yes,Yes,88.86800000000001,4874.7,0.0,0.0,2355.1,66,No,Yes,Yes,No,0,92122,34902,1,4,0,True,False,False,True,False,False,True,False
0334-GDDSO,3,Yes,Yes,Yes,15,No,Yes,No,No,No,No,No,Yes,Yes,84.604,233.7,0.0,3.51,27.660000000000004,77,No,Yes,No,No,0,92122,34902,1,1,3,True,False,False,True,False,False,False,True
5564-NEMQO,1,Yes,No,Yes,19,No,No,Yes,No,No,No,No,Yes,Yes,78.312,75.3,0.0,0.0,35.09,80,No,Yes,No,No,0,92274,17018,1,7,1,True,False,False,True,False,False,True,False
6235-VDHOM,5,No,No,Yes,29,No,Yes,No,No,No,No,No,No,No,29.588,131.05,0.0,38.0,0.0,77,No,Yes,No,No,0,92509,63999,1,4,0,True,False,False,True,False,False,True,False
5609-CEBID,20,Yes,Yes,Yes,13,No,Yes,Yes,No,No,Yes,No,No,Yes,97.864,1782.4,0.0,232.0,974.6,77,No,Yes,No,No,0,92544,39264,1,4,1,True,False,False,True,False,False,True,False
5956-VKDTT,5,Yes,Yes,Yes,24,No,No,No,No,No,No,No,No,Yes,77.324,334.8,0.0,80.0,228.8,72,No,Yes,Yes,No,0,92557,46214,1,4,2,True,False,False,True,False,False,True,False
0257-ZESQC,27,Yes,No,Yes,28,Yes,No,No,No,No,No,No,Yes,Yes,78.20800000000001,1929.35,0.0,0.0,189.54,80,No,Yes,Yes,No,0,92571,26357,1,1,0,True,False,False,True,False,False,True,False
2865-TCHJW,4,Yes,Yes,Yes,26,No,No,Yes,No,Yes,No,No,Yes,Yes,92.768,346.2,0.0,0.0,193.4,74,No,Yes,No,No,0,92807,36301,1,2,2,True,False,False,True,False,False,True,False
5192-EBGOV,1,Yes,Yes,Yes,23,No,No,No,No,Yes,No,No,No,Yes,89.128,85.7,0.0,0.0,45.81,68,No,Yes,No,No,0,92823,1408,1,5,1,True,False,False,True,False,False,True,False
3419-SNJJD,65,Yes,Yes,Yes,31,Yes,No,Yes,No,Yes,Yes,No,Yes,No,109.46,6786.4,0.0,0.0,1195.35,78,No,Yes,Yes,No,0,92887,20893,1,5,0,True,False,False,True,False,False,True,False
4554-YGZIH,49,Yes,Yes,Yes,15,No,Yes,No,No,No,Yes,No,Yes,No,93.652,4547.25,0.0,0.0,1123.0800000000002,75,No,Yes,Yes,No,0,93067,576,1,5,0,True,False,False,False,True,False,False,True
5099-BAILX,43,Yes,Yes,Yes,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,115.18,4687.9,0.0,0.0,624.36,77,No,Yes,Yes,No,0,93101,31727,1,1,1,True,False,False,True,False,False,False,True
4913-EHYUI,56,Yes,Yes,Yes,13,Yes,No,Yes,No,Yes,Yes,No,No,Yes,108.732,5794.65,0.0,753.0,2732.8,80,No,Yes,Yes,No,0,93201,1054,1,0,0,False,True,False,True,False,False,False,True
1626-ERCMM,20,Yes,Yes,Yes,11,No,No,No,No,Yes,Yes,Yes,No,Yes,98.332,1899.65,0.0,209.0,106.2,75,No,Yes,Yes,No,0,93208,191,1,2,3,True,False,False,True,False,False,False,True
5644-PDMZC,2,Yes,Yes,Yes,21,No,Yes,No,No,No,Yes,Yes,No,No,93.08,161.5,0.0,34.0,94.94,69,No,Yes,No,No,0,93215,37280,1,5,0,True,False,False,True,False,False,True,False
4160-AMJTL,8,Yes,No,No,0,No,No,No,No,No,No,No,No,No,19.65,164.3,0.0,0.0,223.6,74,No,Yes,No,No,0,93224,626,1,6,0,True,False,False,True,False,False,True,False
0823-HSCDJ,52,No,No,Yes,20,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,51.116,2550.9,0.0,0.0,0.0,76,No,Yes,No,No,0,92592,46171,1,1,1,True,False,False,True,False,False,False,True
0067-DKWBL,2,Yes,No,Yes,30,Yes,No,No,No,No,No,No,No,Yes,51.22,91.1,0.0,27.0,87.98,69,No,Yes,No,No,0,92129,47224,1,5,0,True,False,False,True,False,False,False,True
5244-IRFIH,33,Yes,Yes,Yes,9,No,No,No,No,Yes,Yes,No,No,Yes,98.28,3105.55,0.0,279.0,916.74,72,No,Yes,Yes,No,0,92129,47224,1,2,2,True,False,False,True,False,False,False,True
2684-EIWEO,30,Yes,Yes,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,95.368,2758.15,0.0,579.0,1376.4,69,No,Yes,No,No,0,92129,47224,1,4,1,True,False,False,False,True,False,True,False
6683-VLCTZ,20,Yes,Yes,Yes,14,No,No,Yes,No,Yes,Yes,No,No,Yes,102.492,1842.8,0.0,258.0,888.8,73,No,Yes,No,No,0,92129,47224,1,5,0,True,False,False,True,False,False,False,True
0691-IFBQW,46,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,114.4,4874.8,0.0,1072.0,109.02,65,No,Yes,No,No,0,93606,807,1,4,0,False,True,False,True,False,False,True,False
3643-AHCFP,7,Yes,Yes,Yes,12,No,No,No,No,Yes,Yes,No,No,Yes,99.424,644.35,0.0,77.0,153.37,74,No,Yes,Yes,No,0,93662,26213,1,1,0,True,False,False,True,False,False,False,True
9231-ZJYAM,4,Yes,No,Yes,20,No,No,No,No,Yes,No,No,No,Yes,82.00399999999999,292.8,0.0,59.0,147.72,65,No,Yes,No,No,0,93675,3146,1,3,2,True,False,False,True,False,False,True,False
0727-BMPLR,55,Yes,Yes,Yes,8,No,No,Yes,No,Yes,Yes,Yes,No,Yes,104.0,5509.3,0.0,441.0,2055.9,66,No,Yes,No,No,0,93706,35790,1,6,0,False,True,False,True,False,False,True,False
0947-MUGVO,20,Yes,No,Yes,26,No,Yes,No,No,No,No,No,Yes,Yes,76.596,1463.5,0.0,0.0,107.4,71,No,Yes,Yes,No,0,93928,254,1,0,0,True,False,False,True,False,False,False,True
0781-LKXBR,9,Yes,Yes,Yes,16,No,No,Yes,No,Yes,Yes,Yes,No,Yes,104.52,918.6,0.0,147.0,438.39,65,No,Yes,No,No,0,94102,28998,1,4,1,True,False,False,True,False,False,False,True
1907-UBQFC,10,Yes,No,Yes,26,No,Yes,No,No,No,No,No,No,Yes,75.764,688.65,0.0,179.0,54.6,69,No,Yes,No,No,0,94108,13723,1,5,4,True,False,False,True,False,False,False,True
6513-EECDB,1,Yes,Yes,Yes,7,No,No,No,No,No,No,No,Yes,Yes,76.492,73.55,0.0,0.0,36.92,75,No,Yes,Yes,No,0,94114,30587,1,2,0,True,False,False,True,False,False,False,True
7074-IEVOJ,3,Yes,Yes,Yes,12,No,Yes,No,No,No,No,No,No,Yes,82.57600000000001,205.05,0.0,25.0,125.7,75,No,Yes,No,No,0,94130,1458,1,5,1,True,False,False,True,False,False,True,False
4750-ZRXIU,4,Yes,Yes,Yes,19,No,No,No,No,No,Yes,No,Yes,Yes,87.984,360.1,0.0,6.84,26.72,68,No,Yes,No,No,0,94304,1723,1,6,1,True,False,False,True,False,False,True,False
7028-DVOIQ,35,Yes,Yes,Yes,21,No,No,Yes,No,Yes,Yes,No,Yes,Yes,103.012,3395.8,0.0,0.0,729.05,71,No,Yes,No,No,0,94512,138,1,5,1,True,False,False,True,False,False,False,True
4208-UFFGW,2,Yes,No,Yes,12,No,No,No,No,No,No,No,No,No,46.748000000000005,85.15,0.0,10.0,53.24,80,No,Yes,No,No,0,94514,10153,1,5,2,True,False,False,False,True,False,False,True
9889-TMAHG,8,Yes,No,Yes,30,Yes,No,No,Yes,Yes,Yes,Yes,No,No,104.312,832.35,0.0,250.0,92.56,66,No,Yes,No,No,0,94539,46917,1,2,5,True,False,False,False,True,False,False,True
8919-FYFQZ,44,No,No,Yes,31,No,Yes,No,No,No,No,No,No,Yes,31.564000000000004,1359.7,0.0,422.0,0.0,73,No,Yes,Yes,No,0,94550,75929,1,4,4,True,False,False,True,False,False,False,True
6646-QVXLR,62,Yes,Yes,Yes,18,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,107.9,6383.35,0.0,1149.0,440.82,77,No,Yes,Yes,No,0,94558,63947,1,1,2,False,True,False,True,False,False,False,True
9369-XFEHK,33,Yes,Yes,Yes,16,No,Yes,No,No,No,No,No,Yes,Yes,83.824,2656.5,0.0,0.0,1095.27,76,No,Yes,Yes,No,0,94566,36669,1,2,0,True,False,False,True,False,False,True,False
1374-DMZUI,4,Yes,Yes,Yes,25,No,No,No,No,Yes,Yes,Yes,No,Yes,98.072,424.45,0.0,106.0,198.0,65,No,Yes,No,No,0,94583,44078,1,0,0,True,False,False,True,False,False,True,False
1989-PRJHP,27,Yes,Yes,Yes,25,No,No,No,No,No,No,No,No,Yes,78.52,1893.95,0.0,473.0,286.2,75,No,Yes,Yes,No,0,94588,28568,1,1,3,True,False,False,True,False,False,False,True
4822-RVYBB,8,Yes,Yes,Yes,32,No,No,Yes,No,Yes,Yes,No,Yes,Yes,104.624,819.4,0.0,0.0,323.6,75,No,Yes,No,No,0,94704,21205,1,4,0,True,False,False,True,False,False,False,True
4184-TJFAN,3,Yes,No,Yes,2,Yes,No,No,Yes,Yes,No,No,No,Yes,91.832,273.75,0.0,5.0,77.31,68,No,Yes,Yes,No,0,94707,11889,1,2,0,True,False,False,False,False,True,True,False
4145-UQXUQ,8,Yes,No,Yes,10,No,No,Yes,No,Yes,Yes,No,Yes,Yes,95.784,729.95,0.0,0.0,343.44,71,No,Yes,No,No,0,94710,8157,1,0,0,True,False,False,True,False,False,True,False
1236-WFCDV,14,Yes,No,Yes,26,No,No,No,No,Yes,Yes,No,No,No,94.068,1266.1,0.0,329.0,158.34,74,No,Yes,No,No,0,94904,12010,1,0,0,True,False,False,False,True,False,False,True
1271-SJBGZ,12,No,No,Yes,11,No,No,Yes,Yes,No,Yes,No,No,Yes,45.396,526.95,0.0,58.0,0.0,77,No,Yes,No,No,0,94933,1025,1,2,4,True,False,False,True,False,False,False,True
4441-NIHPT,13,Yes,No,Yes,23,No,No,Yes,No,No,No,No,No,Yes,77.272,940.35,0.0,216.0,524.81,73,No,Yes,No,No,0,95019,4753,1,1,2,True,False,False,True,False,False,True,False
8999-BOHSE,11,Yes,No,Yes,30,No,No,No,No,Yes,Yes,No,No,No,93.288,1047.7,0.0,314.0,43.56,68,No,Yes,No,No,0,95020,49968,1,4,0,True,False,False,True,False,False,True,False
7029-RPUAV,17,Yes,Yes,Yes,18,No,No,Yes,No,Yes,Yes,No,Yes,Yes,104.468,1622.45,0.0,0.0,479.06,74,No,Yes,Yes,No,0,95030,13290,1,0,0,True,False,False,False,True,False,False,True
8111-SLLHI,39,Yes,Yes,Yes,29,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,109.876,4284.8,0.0,1243.0,1296.75,65,No,Yes,Yes,No,0,95128,32804,1,4,0,True,False,False,True,False,False,False,True
5293-WXJAK,11,Yes,Yes,Yes,30,No,No,Yes,Yes,Yes,Yes,No,No,Yes,108.212,1133.65,0.0,340.0,189.75,73,No,Yes,Yes,No,0,95135,15798,1,1,0,True,False,False,True,False,False,True,False
4086-YQSNZ,3,Yes,No,Yes,10,No,No,No,No,Yes,No,No,Yes,Yes,83.61600000000001,224.05,0.0,0.0,9.87,74,No,Yes,Yes,No,0,95232,21,1,0,0,True,False,False,True,False,False,True,False
8399-YNDCH,21,Yes,No,Yes,15,No,No,Yes,No,Yes,No,No,No,Yes,62.452,1236.15,0.0,185.0,727.02,80,No,Yes,No,No,0,95310,2144,1,1,1,True,False,False,True,False,False,False,True
5565-FILXA,16,Yes,Yes,Yes,18,No,No,No,No,Yes,Yes,No,No,Yes,99.996,1529.2,0.0,275.0,620.0,76,No,Yes,No,No,0,92027,48690,1,5,0,True,False,False,True,False,False,True,False
4187-CINZD,46,Yes,No,Yes,33,No,Yes,No,No,Yes,Yes,No,No,No,99.06,4424.2,0.0,1460.0,281.98,73,No,Yes,No,No,0,90712,30173,1,1,1,False,True,False,False,True,False,True,False
6818-WOBHJ,68,Yes,Yes,Yes,26,No,Yes,No,No,No,Yes,No,Yes,Yes,93.184,6127.6,0.0,0.0,1640.84,70,No,Yes,Yes,No,0,95439,476,1,0,0,True,False,False,True,False,False,True,False
9134-CEQMF,7,Yes,No,Yes,30,No,No,No,No,Yes,Yes,No,No,Yes,93.08,676.7,0.0,203.0,95.41,75,No,Yes,Yes,No,0,95464,2223,1,2,2,True,False,False,True,False,False,False,True
8519-IMDHU,15,Yes,Yes,Yes,24,No,No,No,No,No,Yes,No,No,Yes,89.024,1345.55,0.0,323.0,678.75,74,No,Yes,Yes,No,0,95511,261,1,3,5,True,False,False,True,False,False,False,True
3372-KWFBM,16,Yes,Yes,Yes,24,No,No,No,No,Yes,No,No,Yes,Yes,90.064,1281.0,0.0,0.0,306.88,76,No,Yes,No,No,0,95524,1689,1,2,2,True,False,False,True,False,False,False,True
7206-GZCDC,1,Yes,No,Yes,20,No,No,No,No,No,No,No,No,Yes,72.02,69.25,0.0,0.0,29.68,75,No,Yes,No,No,0,95551,1447,1,3,1,True,False,False,True,False,False,True,False
1768-ZAIFU,1,No,No,Yes,6,No,No,No,No,No,No,No,No,Yes,26.208,25.2,0.0,0.0,0.0,74,No,Yes,No,No,0,95562,3284,1,2,1,True,False,False,True,False,False,True,False
3793-MMFUH,13,Yes,Yes,Yes,26,No,No,No,No,Yes,Yes,Yes,No,Yes,98.852,1290.0,0.0,335.0,247.39,73,No,Yes,No,No,0,95618,648,1,3,0,True,False,False,True,False,False,True,False
6567-HOOPW,1,Yes,No,Yes,26,No,No,No,No,Yes,No,No,No,Yes,82.36800000000001,79.2,0.0,0.0,20.06,69,No,Yes,No,No,0,95630,51855,1,2,0,True,False,False,True,False,False,True,False
8621-MNIHH,34,Yes,Yes,Yes,4,No,Yes,Yes,No,No,Yes,No,Yes,Yes,98.02,3217.55,0.0,0.0,97.92,75,No,Yes,Yes,No,0,95653,844,1,2,2,True,False,False,True,False,False,True,False
5419-CONWX,4,Yes,No,Yes,11,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,103.792,442.85,0.0,49.0,50.72,65,No,Yes,No,No,0,95668,901,1,4,1,True,False,False,False,True,False,True,False
7024-OHCCK,2,Yes,Yes,Yes,20,No,No,No,No,Yes,Yes,No,Yes,Yes,97.604,170.85,0.0,3.42,38.54,77,No,Yes,No,No,0,95681,1219,1,4,0,True,False,False,True,False,False,True,False
5357-TZHPP,9,Yes,Yes,Yes,20,No,No,No,No,No,Yes,No,No,Yes,87.77600000000001,732.5,0.0,146.0,277.2,67,No,Yes,No,No,0,95692,3600,1,8,0,True,False,False,False,True,False,False,True
0506-LVNGN,5,Yes,No,Yes,10,No,No,Yes,No,No,No,No,No,Yes,78.572,349.65,0.0,35.0,211.65,78,No,Yes,No,No,0,95742,299,1,5,4,True,False,False,False,True,False,True,False
9809-IMGCQ,22,Yes,Yes,Yes,9,No,No,No,No,Yes,Yes,Yes,No,Yes,100.568,2082.95,0.0,187.0,883.96,65,No,Yes,No,No,0,95923,86,1,1,0,True,False,False,True,False,False,False,True
3254-YRILK,19,Yes,Yes,Yes,10,No,Yes,No,No,Yes,No,No,No,Yes,91.728,1775.8,0.0,178.0,759.43,74,No,Yes,No,No,0,95935,614,1,2,2,True,False,False,True,False,False,False,True
0529-ONKER,15,Yes,Yes,Yes,21,No,No,No,No,No,No,No,Yes,No,78.676,1146.65,0.0,0.0,695.7,70,No,Yes,No,No,0,95942,1351,1,1,1,True,False,False,True,False,False,False,True
5240-IJOQT,1,Yes,Yes,Yes,22,No,No,No,No,No,No,No,Yes,Yes,77.688,74.7,0.0,0.0,11.34,69,No,Yes,No,No,0,95949,17922,1,3,4,True,False,False,True,False,False,False,True
0661-XEYAN,1,No,No,Yes,29,No,No,No,No,No,No,No,Yes,Yes,26.832,25.8,0.0,0.0,0.0,76,No,Yes,No,No,0,95959,17269,1,2,1,True,False,False,False,False,True,True,False
2660-EMUBI,10,Yes,Yes,Yes,15,No,No,No,No,Yes,Yes,No,No,Yes,99.164,898.35,0.0,135.0,413.7,71,No,Yes,No,No,0,92027,48690,1,1,0,True,False,False,True,False,False,False,True
7675-OZCZG,3,Yes,No,Yes,7,No,No,No,No,No,No,No,No,No,46.8,127.1,0.0,9.0,90.42,76,No,Yes,No,No,0,92028,42239,1,3,0,True,False,False,True,False,False,True,False
9391-EOYLI,12,Yes,No,Yes,21,No,No,No,No,No,Yes,No,No,Yes,83.668,950.2,0.0,200.0,83.64,77,No,Yes,Yes,No,0,96052,1845,1,1,0,True,False,False,True,False,False,False,True
2761-OCIAX,2,Yes,No,Yes,12,No,Yes,No,No,No,No,No,Yes,Yes,77.688,165.4,0.0,0.0,13.02,74,No,Yes,No,No,0,96073,4931,1,1,1,True,False,False,True,False,False,False,True
3068-OMWZA,1,Yes,Yes,Yes,22,No,No,Yes,No,Yes,No,No,No,Yes,92.352,88.8,0.0,0.0,49.6,77,No,Yes,No,No,0,96084,459,1,1,0,True,False,False,True,False,False,False,True
4154-AQUGT,13,Yes,No,Yes,6,No,Yes,No,Yes,No,Yes,No,No,Yes,92.612,1169.35,0.0,70.0,19.11,76,No,Yes,Yes,No,0,92130,28201,1,1,0,True,False,False,True,False,False,False,True
8017-LXHFA,23,Yes,No,Yes,25,No,Yes,No,No,Yes,Yes,No,No,Yes,98.54,2293.6,0.0,573.0,716.9100000000001,77,No,Yes,No,No,0,92130,28201,1,4,1,True,False,False,True,False,False,True,False
4248-QPAVC,17,Yes,Yes,Yes,7,Yes,No,Yes,No,No,No,No,No,Yes,88.764,1463.45,0.0,102.0,625.94,80,No,Yes,Yes,No,0,92130,28201,1,1,0,True,False,False,True,False,False,True,False
4690-LLKUA,17,Yes,No,Yes,2,No,No,No,No,No,No,No,Yes,Yes,46.852,770.6,0.0,0.0,695.81,68,No,Yes,No,No,0,92130,28201,1,0,0,True,False,False,True,False,False,False,True
9490-DFPMD,42,Yes,Yes,Yes,19,No,No,No,No,Yes,No,No,No,Yes,88.03600000000002,3541.35,0.0,673.0,400.26,79,No,Yes,No,No,0,92130,28201,1,3,0,True,False,False,True,False,False,True,False
8580-AECUZ,1,Yes,No,Yes,18,No,No,No,No,Yes,No,No,Yes,Yes,82.264,79.1,0.0,0.0,42.3,65,No,Yes,No,No,0,92130,28201,1,2,1,True,False,False,True,False,False,False,True
5047-LHVLY,1,Yes,No,Yes,13,No,No,Yes,No,No,No,No,No,Yes,52.156,50.15,0.0,0.0,39.78,68,No,Yes,No,No,0,92121,4258,1,2,0,True,False,False,False,False,True,False,True
8375-DKEBR,1,Yes,No,Yes,16,No,No,No,No,No,No,No,Yes,Yes,72.384,69.6,0.0,0.0,34.51,72,No,Yes,No,No,0,90254,18693,1,1,4,True,False,False,True,False,False,True,False
7279-BUYWN,41,Yes,Yes,Yes,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,117.728,4689.5,0.0,1172.0,1145.95,66,No,Yes,No,No,0,90620,44442,1,2,0,True,False,False,True,False,False,True,False
7156-MHUGY,13,Yes,No,Yes,4,No,No,No,No,Yes,Yes,Yes,No,Yes,94.12,1201.15,29.84,48.0,339.43,68,No,Yes,No,No,0,90621,33528,1,1,3,True,False,False,True,False,False,False,True
9606-PBKBQ,32,Yes,Yes,Yes,25,No,No,No,No,No,Yes,Yes,No,Yes,88.4,2642.05,49.57,661.0,191.68,69,No,Yes,Yes,No,0,90813,63136,1,3,2,True,False,False,True,False,False,False,True
3536-IQCTX,32,Yes,Yes,Yes,11,No,No,No,No,No,Yes,Yes,No,No,88.712,2661.1,0.0,293.0,1587.2,76,No,Yes,Yes,No,0,91030,23984,1,5,2,True,False,False,True,False,False,False,True
3132-TVFDZ,57,No,No,Yes,3,No,No,No,No,Yes,Yes,Yes,No,Yes,46.644000000000005,2572.95,12.07,77.0,0.0,70,No,Yes,Yes,No,0,91202,21990,1,7,0,True,False,False,True,False,False,False,True
8080-DDEMJ,1,Yes,No,Yes,15,No,No,No,No,No,No,No,No,No,46.904,45.1,0.0,0.0,15.28,71,No,Yes,No,No,0,91204,17015,1,9,1,True,False,False,True,False,False,False,True
6702-OHFWR,1,No,No,Yes,29,No,Yes,Yes,No,No,Yes,No,Yes,Yes,45.032,43.3,0.0,0.0,0.0,75,No,Yes,No,No,0,91335,68018,1,1,0,True,False,False,True,False,False,False,True
4510-PYUSH,38,Yes,No,Yes,30,Yes,Yes,No,No,No,No,No,Yes,Yes,59.436,2250.65,0.0,67.52,991.8,67,No,Yes,No,No,0,91342,81986,1,3,1,True,False,False,False,True,False,True,False
8840-DQLGN,35,Yes,Yes,Yes,24,Yes,Yes,No,Yes,Yes,No,No,No,Yes,104.52,3653.35,0.0,877.0,559.3000000000001,65,No,Yes,Yes,No,0,91502,11517,1,6,2,True,False,False,True,False,False,True,False
